,Unnamed: 0,runs,mins,BF,4s,6s,SR,Pos,Dismissal,Inns,opponent,ground,date,match,total
0,0,15,28,24,2,0,62.50,6,bowled,2,Pakistan,Karachi,15Nov1989,Test,15
1,2,59,254,172,4,0,34.30,6,lbw,1,Pakistan,Faisalabad,23Nov1989,Test,74
2,3,8,24,16,1,0,50.00,6,runout,3,Pakistan,Faisalabad,23Nov1989,Test,82
3,4,41,124,90,5,0,45.55,7,bowled,1,Pakistan,Lahore,1Dec1989,Test,123
4,5,35,74,51,5,0,68.62,6,lbw,1,Pakistan,Sialkot,9Dec1989,Test,158
5,6,57,193,134,6,0,42.53,6,caught,3,Pakistan,Sialkot,9Dec1989,Test,215
6,7,0,-,2,0,0,0.00,5,caught,2,Pakistan,Gujranwala,18Dec1989,ODI,215
7,8,0,1,1,0,0,0.00,6,caught,2,NewZealand,Christchurch,2Feb1990,Test,215
8,9,24,50,44,3,0,54.54,6,caught,3,NewZealand,Christchurch,2Feb1990,Test,239
9,10,88,324,266,5,0,33.08,6,caught,1,NewZealand,Napier,9Feb1990,Test,327
10,11,5,15,13,1,0,38.46,6,caught,2,NewZealand,Auckland,22Feb1990,Test,332
11,13,0,2,2,0,0,0.00,5,caught,2,NewZealand,Dunedin,1Mar1990,ODI,332
12,14,36,51,39,5,0,92.30,6,caught,1,NewZealand,Wellington,6Mar1990,ODI,368
13,15,10,-,12,0,0,83.33,5,runout,1,SriLanka,Sharjah,25Apr1990,ODI,378
14,16,20,-,25,1,0,80.00,7,caught,2,Pakistan,Sharjah,27Apr1990,ODI,398
15,17,19,38,35,1,1,54.28,4,bowled,2,England,Leeds,18Jul1990,ODI,417
16,18,31,31,26,3,0,119.23,6,bowled,2,England,Nottingham,20Jul1990,ODI,448
17,19,10,30,19,1,0,52.63,6,bowled,2,England,Lord's,26Jul1990,Test,458
18,20,27,93,65,4,0,41.53,6,caught,4,England,Lord's,26Jul1990,Test,485
19,21,68,216,136,8,0,50.00,6,caught,2,England,Manchester,9Aug1990,Test,553
20,22,119,225,189,17,0,62.96,6,notout,4,England,Manchester,9Aug1990,Test,672
21,23,21,39,30,3,0,70.00,7,caught,1,England,TheOval,23Aug1990,Test,693
22,24,11,92,-,-,0,-,6,lbw,1,SriLanka,Chandigarh,23Nov1990,Test,704
23,25,36,-,22,3,2,163.63,5,bowled,1,SriLanka,Nagpur,1Dec1990,ODI,740
24,26,53,-,41,7,1,129.26,5,bowled,2,SriLanka,Pune,5Dec1990,ODI,793
25,27,30,-,29,1,2,103.44,5,caught,1,SriLanka,Margao,8Dec1990,ODI,823
26,29,4,-,11,0,0,36.36,5,lbw,2,SriLanka,Cuttack,28Dec1990,ODI,827
27,30,53,-,70,2,0,75.71,4,lbw,2,SriLanka,Kolkata,4Jan1991,ODI,880
28,31,52,-,40,5,0,130.00,5,notout,1,Pakistan,Sharjah,18Oct1991,ODI,932
29,32,22,-,27,3,0,81.48,5,runout,1,WestIndies,Sharjah,19Oct1991,ODI,954
30,33,11,-,27,1,0,40.74,5,notout,2,WestIndies,Sharjah,22Oct1991,ODI,965
31,34,49,-,38,3,2,128.94,5,caught,2,Pakistan,Sharjah,23Oct1991,ODI,1014
32,35,0,-,1,0,0,0.00,5,lbw,2,Pakistan,Sharjah,25Oct1991,ODI,1014
33,36,62,-,73,8,1,84.93,4,caught,2,SouthAfrica,Kolkata,10Nov1991,ODI,1076
34,37,4,-,8,0,0,50.00,4,caught,1,SouthAfrica,Gwalior,12Nov1991,ODI,1080
35,38,1,-,3,0,0,33.33,4,caught,1,SouthAfrica,NewDelhi,14Nov1991,ODI,1081
36,39,16,47,42,3,0,38.09,6,bowled,1,Australia,Brisbane,29Nov1991,Test,1097
37,40,7,36,25,1,0,28.00,6,caught,3,Australia,Brisbane,29Nov1991,Test,1104
38,41,1,14,9,0,0,11.11,4,caught,1,WestIndies,Perth,6Dec1991,ODI,1105
39,42,36,79,65,3,0,55.38,4,caught,1,Australia,Perth,8Dec1991,ODI,1141
40,43,57,111,107,3,0,53.27,4,caught,1,Australia,Hobart,10Dec1991,ODI,1198
41,44,48,62,57,2,0,84.21,4,caught,1,WestIndies,Adelaide,14Dec1991,ODI,1246
42,45,21,38,35,3,0,60.00,4,caught,1,Australia,Adelaide,15Dec1991,ODI,1267
43,46,15,33,23,0,0,65.21,7,caught,1,Australia,Melbourne,26Dec1991,Test,1282
44,47,40,122,107,5,0,37.38,7,caught,3,Australia,Melbourne,26Dec1991,Test,1322
45,48,148,298,213,14,0,69.48,6,notout,2,Australia,Sydney,2Jan1992,Test,1470
46,49,77,157,127,5,0,60.62,4,caught,1,WestIndies,Brisbane,11Jan1992,ODI,1547
